,year,mon.day,date,river,bank,species,fish.count,comments,run_desc,run,maturity,proj.id,proj,count.type
148,2023,3-Aug,8/3/23,George River,Entire Channel,Chum,523,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
149,2023,4-Aug,8/4/23,George River,Entire Channel,Chum,367,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
150,2023,5-Aug,8/5/23,George River,Entire Channel,Chum,422,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
151,2023,6-Aug,8/6/23,George River,Entire Channel,Chum,94,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
152,2023,7-Aug,8/7/23,George River,Entire Channel,Chum,183,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
153,2023,8-Aug,8/8/23,George River,Entire Channel,Chum,148,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
154,2023,9-Aug,8/9/23,George River,Entire Channel,Chum,164,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
155,2023,10-Aug,8/10/23,George River,Entire Channel,Chum,359,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
156,2023,11-Aug,8/11/23,George River,Entire Channel,Chum,202,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
157,2023,12-Aug,8/12/23,George River,Entire Channel,Chum,122,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
158,2023,13-Aug,8/13/23,George River,Entire Channel,Chum,223,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
159,2023,14-Aug,8/14/23,George River,Entire Channel,Chum,124,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
160,2023,15-Aug,8/15/23,George River,Entire Channel,Chum,61,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
161,2023,16-Aug,8/16/23,George River,Entire Channel,Chum,219,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
